season,mode,duration,duration.min,start.date,start.time,end.date,end.time,notes,Total Talk Time
Pre-Spain,Skype,3:42:00,222,6/18/2014,21:46:00,6/19/2014,1:28:00,,166:30:49
Pre-Spain,Skype,1:50:00,110,6/21/2014,1:09:00,6/21/2014,2:59:00,,Average Talk Time
Pre-Spain,Skype,1:18:00,78,7/7/2014,22:42:00,7/8/2014,0:00:00,,1:34:10
Pre-Spain,Skype,0:09:00,9,7/8/2014,2:01:00,7/8/2014,2:10:00,,Average Start Time
Pre-Spain,Skype,0:27:00,27,8/3/2014,22:46:00,8/3/2014,23:13:00,,1:37:05 PM
Pre-Spain,Skype,2:55:00,175,8/4/2014,23:14:00,8/5/2014,2:09:00,,Average End Time
Pre-Spain,Skype,1:23:00,83,8/19/2014,22:34:00,8/19/2014,23:57:00,,1:07:45 PM
Pre-Spain,Skype,1:07:00,67,8/26/2014,18:08:00,8/26/2014,19:15:00,,Average Mins
Pre-Spain,Skype,3:26:00,206,9/2/2014,21:31:00,9/3/2014,0:57:00,,96.95145631
Pre-Spain,Skype,3:14:00,194,9/6/2014,12:57:00,9/6/2014,16:11:00,,
Pre-Spain,Skype,1:16:00,76,9/14/2014,23:46:00,9/15/2014,1:02:00,,
Pre-Spain,Skype,2:29:00,149,9/20/2014,14:10:00,9/20/2014,16:39:00,,
Pre-Spain,Skype,0:01:00,1,9/29/2014,23:59:00,9/30/2014,0:00:00,,
Pre-Spain,Skype,0:53:00,53,9/30/2014,0:01:00,9/30/2014,0:54:00,,
Spain,Hangouts,0:27:00,27,1/2/2015,13:37:00,1/2/2015,14:04:00,,
Spain,Hangouts,1:27:00,87,1/2/2015,14:20:00,1/2/2015,15:47:00,,
Spain,Hangouts,2:37:00,157,1/4/2015,10:53:00,1/4/2015,13:30:00,,
Spain,Hangouts,1:28:00,88,1/5/2015,15:39:00,1/5/2015,17:07:00,,
Spain,Hangouts,0:41:00,41,1/5/2015,17:37:00,1/5/2015,18:18:00,,
Spain,Hangouts,1:11:00,71,1/6/2015,19:04:00,1/6/2015,20:15:00,,
Spain,Hangouts,1:23:00,83,1/7/2015,14:59:00,1/7/2015,16:22:00,,
Spain,Hangouts,4:07:00,247,1/9/2015,17:30:00,1/9/2015,21:37:00,Start time is unclear?,
Spain,Hangouts,1:09:00,69,1/11/2015,16:00:00,1/11/2015,17:09:00,Start time is unclear?,
Spain,Hangouts,0:19:00,19,1/11/2015,19:17:00,1/11/2015,19:36:00,,
Spain,Hangouts,0:30:00,30,1/12/2015,14:51:00,1/12/2015,15:21:00,,
Spain,Skype,0:29:00,29,1/12/2015,15:45:00,1/12/2015,16:14:00,,
Spain,Skype,0:20:00,20,1/12/2015,16:15:00,1/12/2015,16:35:00,,
Spain,Skype,0:48:00,48,1/12/2015,16:36:00,1/12/2015,17:24:00,,
Spain,Skype,0:04:00,4,1/12/2015,17:25:00,1/12/2015,17:29:00,,
Spain,Skype,2:08:00,128,1/12/2015,17:30:00,1/12/2015,19:38:00,,
